,lat,lng,cluster
1031,35.21361053,126.84642893,11
1135,35.21377716,126.84573454,11
1118,35.21361053,126.84642893,11
1109,35.21383275,126.84781769,11
445,35.21424934,126.84642891,11
1197,35.21411046,126.84581786,11
1099,35.213851,126.847819,11
1020,35.2136383,126.84617895,11
1129,35.21424934,126.84642891,11
990,35.21513813,126.84637334,11
1439,35.21394382,126.84634559,11
1269,35.21513813,126.84637334,11
1869,35.21424932,126.84526235,11
1860,35.21511036,126.84637334,11
1845,35.21511036,126.84637334,11
1838,35.21424932,126.84526235,11
94,35.21377716,126.84573454,11
97,35.213851,126.847819,11
100,35.21419379,126.84634559,11
1803,35.21511036,126.84637334,11
1802,35.21520670662662,126.84670760815015,11
1801,35.21511036,126.84637334,11
1797,35.21394382,126.84617894,11
107,35.21399936,126.84573453,11
111,35.21438822,126.84673444,11
1770,35.21474927,126.84559564,11
1758,35.21424934,126.84642891,11
121,35.2142771,126.84556788,11
1718,35.21424934,126.84642891,11
75,35.21361053,126.84642893,11
1716,35.21419379,126.84634559,11
1892,35.21511036,126.84637334,11
1900,35.21474927,126.84559564,11
1,35.21424934,126.84642891,11
2030,35.21474927,126.84559564,11
19,35.21399936,126.84573453,11
23,35.21438822,126.84673444,11
24,35.21377716,126.84573454,11
35,35.21419379,126.84634559,11
37,35.21377716,126.84573454,11
1968,35.21511036,126.84637334,11
1960,35.21394382,126.84617894,11
48,35.21377716,126.84573454,11
